TubeName,TubeType,SameTube,SameRun,PeakWidth,Absolute,SN,Intensity,BaselineNoise,Quality,TubeTypeNum,Scans,Cost,DiameterOuter,MOEO,DiameterInner,MOEI,Concentricity,Camber,Frequency,ThicknessWall,QualityTube,CostvsQuality
A1-2,A,1,1,0.019,3701.57,84.72,218.6,2.5802644,0.84682,1,32,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,0.921235556,0.164112403
A1-3,A,2,2,0.019,7677.77,102.47,412.8,4.028496145,1.02432,1,32,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,0.921235556,0.198511628
A1-4,A,3,2,0.02,7587.3,100.76,409.7,4.066097658,1.0072,1,32,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,0.921235556,0.195193798
A2-2,A,1,3,0.02,3952.25,85.65,220.7,2.576765908,0.8561,1,32,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,0.921235556,0.165910853
A2-3,A,2,4,0.02,4627.49,99.47,402.9,4.050467478,0.9943,1,32,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,0.921235556,0.192693798
A2-4,A,3,4,0.021,8095.15,94.18,383,4.066680824,0.94138,1,32,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,0.921235556,0.182437984
A3-2,A,1,5,0.02,3806.45,92.66,234.4,2.529678394,0.9262,1,32,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,0.921235556,0.179496124
A3-3,A,2,6,0.025,8040.65,85.59,340.7,3.980605211,0.8554,1,32,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,0.921235556,0.165775194
A3-4,A,3,6,0.025,8085.81,83.99,333.3,3.968329563,0.8394,1,32,5.16,4.97,0.03,4.2,0.03,0.01,0.04,200,0.385,0.921235556,0.162674419
B1-2,B,4,7,0.017,3848.58,98.52,242.6,2.462444174,0.98486,2,32,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,0.940095556,0.090854244
B1-3,B,5,8,0.053,7221.23,39.2,157.1,4.007653061,0.39094,2,32,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,0.940095556,0.036064576
B1-4,B,6,8,0.05,7270.41,38.7,156.8,4.051679587,0.386,2,32,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,0.940095556,0.035608856
B2-2,B,4,9,0.016,5405.9,140.41,351.1,2.50053415,1.40378,2,32,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,0.940095556,0.1295
B2-3,B,5,10,0.028,11957.11,110.21,457.9,4.154795391,1.10154,2,32,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,0.940095556,0.101618081
B2-4,B,6,10,0.028,11757.39,115.02,441.3,3.836724048,1.14964,2,32,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,0.940095556,0.106055351
B3-2,B,4,11,0.017,4548.07,116.5,290.2,2.490987124,1.16466,2,32,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,0.940095556,0.107440959
B3-3,B,5,12,0.028,9458.6,93.93,379.6,4.041307357,0.93874,2,32,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,0.940095556,0.086599631
B3-4,B,6,12,0.025,9428.76,94.12,378.6,4.022524437,0.9407,2,32,10.84,4.97,0.013,4.2,0.025,0.005,0.013,500,0.385,0.940095556,0.086780443
C1-2,C,7,13,0.019,4433.08,105.58,264,2.500473575,1.05542,3,32,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,0.767808889,0.187131206
C1-3,C,8,14,0.033,8887.05,59.26,240.1,4.051636855,0.59194,3,32,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,0.767808889,0.104953901
C1-4,C,9,14,0.033,8228.93,59.85,240.5,4.018379282,0.59784,3,32,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,0.767808889,0.106
C2-2,C,7,15,0.028,7575.37,74.56,303.5,4.07054721,0.74504,3,32,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,0.767808889,0.132099291
C2-3,C,8,16,0.027,7361.87,74.88,301.3,4.023771368,0.74826,3,32,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,0.767808889,0.132670213
C2-4,C,9,16,0.026,7418.56,75.24,298.4,3.965975545,0.75188,3,32,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,0.767808889,0.133312057
C3-2,C,7,17,0.025,4172.55,87.81,225.8,2.571461109,0.8776,3,32,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,0.767808889,0.155602837
C3-3,C,8,18,0.028,8068.58,79.27,318.5,4.01791346,0.79214,3,32,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,0.767808889,0.140450355
C3-4,C,9,18,0.027,8200.45,75.07,297.8,3.966964167,0.75016,3,32,5.64,4.97,0.025,4.2,0.025,0.01,0.038,300,0.385,0.767808889,0.133007092
D1-2,D,10,19,0.017,4188.73,103.5,263.7,2.547826087,1.03466,4,32,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,0.902164444,0.958018519
D1-3,D,11,20,0.031,8134.29,72.6,291.4,4.013774105,0.72538,4,32,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,0.902164444,0.671648148
D1-4,D,12,20,0.03,8076.77,68.31,286.2,4.18972332,0.6825,4,32,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,0.902164444,0.631944444
D2-2,D,10,21,0.017,4341.51,109.52,281,2.565741417,1.09486,4,32,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,0.902164444,1.013759259
D2-3,D,11,22,0.03,8487.75,78.51,318.3,4.054260604,0.7845,4,32,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,0.902164444,0.726388889
D2-4,D,12,22,0.03,8564.05,79.72,320.4,4.019066734,0.7966,4,32,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,0.902164444,0.737592593
D3-2,D,10,23,0.016,4625.28,131.16,326.4,2.488563586,1.31128,4,32,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,0.902164444,1.214148148
D3-3,D,11,24,0.026,9015.04,84.08,345.9,4.113939106,0.84028,4,32,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,0.902164444,0.778037037
D3-4,D,12,24,0.029,8779.48,85,345.2,4.061176471,0.84942,4,32,1.08,4.95,0.02,4.09,0.02,0.076,0.051,60,0.43,0.902164444,0.7865
E1-2,E,13,25,0.018,4495.64,117.61,293.5,2.495536094,1.17574,5,32,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.829031111,0.152297927
E1-3,E,14,26,0.029,8269.38,75.82,303.5,4.002901609,0.75762,5,32,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.829031111,0.098137306
E1-4,E,15,26,0.03,8355.94,72.81,293.3,4.028292817,0.7275,5,32,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.829031111,0.094235751
E2-2,E,13,27,0.022,4407,86.65,221.1,2.551644547,0.86606,5,32,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.829031111,0.112183938
E2-3,E,14,28,0.027,8145.05,76.32,309.9,4.060534591,0.76266,5,32,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.829031111,0.098790155
E2-4,E,15,28,0.026,8155.75,76.5,315.8,4.128104575,0.76448,5,32,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.829031111,0.099025907
E3-2,E,13,29,0.018,4378.36,101.74,267.1,2.625319442,1.01704,5,32,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.829031111,0.131740933
E3-3,E,14,30,0.031,7955.85,66.83,271.7,4.065539428,0.66768,5,32,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.829031111,0.086487047
E3-4,E,15,30,0.03,7893.24,72.31,286.5,3.962107592,0.7225,5,32,7.72,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.829031111,0.093588083
F1-2,F,16,31,0.018,4437.07,102.87,259.8,2.525517644,1.02834,6,32,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.915128889,0.133550649
F1-3,F,17,32,0.033,8671.09,73.94,296.6,4.011360563,0.73874,6,32,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.915128889,0.09594026
F1-4,F,18,32,0.034,8394.23,71.67,293.6,4.096553649,0.71602,6,32,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.915128889,0.09298961
F2-2,F,16,33,0.021,5194.56,100.9,259.1,2.567888999,1.00858,6,32,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.915128889,0.130984416
F2-3,F,17,34,0.021,10460.89,100.68,412.2,4.094159714,1.00638,6,32,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.915128889,0.130698701
F2-4,F,18,34,0.024,10081.84,103.28,425,4.115027111,1.03232,6,32,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.915128889,0.134067532
F3-2,F,16,35,0.018,4632.02,114.34,286.2,2.503061046,1.14304,6,32,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.915128889,0.148446753
F3-3,F,17,36,0.029,8826.29,77.64,310.9,4.004379186,0.77582,6,32,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.915128889,0.100755844
F3-4,F,18,36,0.024,8749.83,78.74,316.5,4.019558039,0.78692,6,32,7.7,4.9635,0.0065,4.2,0.2,0.076,0.051,100,0.38175,0.915128889,0.102197403
